Temperature(Kelvin),Pressure (Mpa),CaCl2 Concentration (ppm),NaCl Concentration (ppm),KCl Concentration (ppm),MgCl2 Concentration (ppm),CO2 Solubility (mol/kg)
0.823127,0.194622426,0,0,0,0.002102722,0.506862745
0.823127,0.217963387,0,0,0,0.002102722,0.532352941
0.823127,0.023340961,0,0,0,0.021218381,0.099019608
0.823127,0.046681922,0,0,0,0.021218381,0.180882353
0.823127,0.070022883,0,0,0,0.021218381,0.262254902
0.823127,0.093363844,0,0,0,0.021218381,0.320098039
0.823127,0.116704805,0,0,0,0.021218381,0.380392157
0.823127,0.155720824,0,0,0,0.021218381,0.443627451
0.823127,0.179061785,0,0,0,0.021218381,0.483333333
0.823127,0.194622426,0,0,0,0.021218381,0.498039216
0.823127,0.217963387,0,0,0,0.021218381,0.52254902
0.823127,0.023340961,0,0,0,0.031989132,0.096568627
0.823127,0.046681922,0,0,0,0.031989132,0.212254902
0.823127,0.070022883,0,0,0,0.031989132,0.250490196
0.823127,0.093363844,0,0,0,0.031989132,0.323529412
0.823127,0.116704805,0,0,0,0.031989132,0.381372549
0.823127,0.155720824,0,0,0,0.031989132,0.445588235
0.823127,0.179061785,0,0,0,0.031989132,0.476960784
0.823127,0.194622426,0,0,0,0.031989132,0.492647059
0.823127,0.217963387,0,0,0,0.031989132,0.517156863
0.65761889,0.001144165,0.001503275,0,0,0,0.015686275
0.65761889,0.023340961,0.001503275,0,0,0,0.295588235
0.65761889,0.046681922,0.001503275,0,0,0,0.641838235
0.65761889,0.070022883,0.001503275,0,0,0,0.659803922
0.65761889,0.093363844,0.001503275,0,0,0,0.680882353
0.65761889,0.116704805,0.001503275,0,0,0,0.69754902
0.65761889,0.155720824,0.001503275,0,0,0,0.723039216
0.65761889,0.179061785,0.001503275,0,0,0,0.737745098
0.65761889,0.194622426,0.001503275,0,0,0,0.74754902
0.65761889,0.217963387,0.001503275,0,0,0,0.757352941
0.65761889,0.001144165,0.015169415,0,0,0,0.015686275
0.65761889,0.023340961,0.015169415,0,0,0,0.290098039
0.65761889,0.046681922,0.015169415,0,0,0,0.519607843
0.65761889,0.070022883,0.015169415,0,0,0,0.646568627
0.65761889,0.093363844,0.015169415,0,0,0,0.662745098
0.65761889,0.116704805,0.015169415,0,0,0,0.683333333
0.65761889,0.155720824,0.015169415,0,0,0,0.705882353
0.65761889,0.179061785,0.015169415,0,0,0,0.720588235
0.65761889,0.194622426,0.015169415,0,0,0,0.731372549
0.65761889,0.217963387,0.015169415,0,0,0,0.742156863
0.65761889,0.001144165,0.022869626,0,0,0,0.015686275
0.65761889,0.023340961,0.022869626,0,0,0,0.285539216
0.65761889,0.046681922,0.022869626,0,0,0,0.496568627
0.65761889,0.070022883,0.022869626,0,0,0,0.641421569
0.65761889,0.093363844,0.022869626,0,0,0,0.661029412
0.65761889,0.116704805,0.022869626,0,0,0,0.681617647
0.65761889,0.155720824,0.022869626,0,0,0,0.692647059
0.65761889,0.179061785,0.022869626,0,0,0,0.712745098
0.65761889,0.194622426,0.022869626,0,0,0,0.731372549
0.65761889,0.217963387,0.022869626,0,0,0,0.733823529
0.734856008,0.001144165,0.001503275,0,0,0,0.006372549
0.734856008,0.023340961,0.001503275,0,0,0,0.153921569
0.734856008,0.046681922,0.001503275,0,0,0,0.250490196
