Paper Title,Temperature,Temperature Unit,Pressure,Pressure Unit,CaCl2 Concentration,NaCl Concentration,KCl Concentration,MgCl2 Concentration,Concentration Unit,CO2 Solubility,Solubility Unit,Unconverged data (*)
Liu - 2021,333,kelvin,0.101325,MPa,0,0,0,0.106091903,mol/kg,0.013,mol/kg,
Liu - 2021,333,kelvin,2.06703,MPa,0,0,0,0.106091903,mol/kg,0.308,mol/kg,
Liu - 2021,333,kelvin,4.13406,MPa,0,0,0,0.106091903,mol/kg,0.561,mol/kg,
Liu - 2021,333,kelvin,6.20109,MPa,0,0,0,0.106091903,mol/kg,0.755,mol/kg,
Liu - 2021,333,kelvin,8.26812,MPa,0,0,0,0.106091903,mol/kg,0.91,mol/kg,
Liu - 2021,333,kelvin,10.33515,MPa,0,0,0,0.106091903,mol/kg,1.112,mol/kg,
Liu - 2021,333,kelvin,13.7903325,MPa,0,0,0,0.106091903,mol/kg,1.34,mol/kg,
Liu - 2021,333,kelvin,15.8573625,MPa,0,0,0,0.106091903,mol/kg,1.149,mol/kg,
Liu - 2021,333,kelvin,17.2353825,MPa,0,0,0,0.106091903,mol/kg,1.161,mol/kg,
Liu - 2021,333,kelvin,19.3024125,MPa,0,0,0,0.106091903,mol/kg,1.184,mol/kg,
Liu - 2021,333,kelvin,0.101325,MPa,0,0,0,0.159945661,mol/kg,0.013,mol/kg,
Liu - 2021,333,kelvin,2.06703,MPa,0,0,0,0.159945661,mol/kg,0.3054,mol/kg,
Liu - 2021,333,kelvin,4.13406,MPa,0,0,0,0.159945661,mol/kg,0.555,mol/kg,
Liu - 2021,333,kelvin,6.20109,MPa,0,0,0,0.159945661,mol/kg,0.748,mol/kg,
Liu - 2021,333,kelvin,8.26812,MPa,0,0,0,0.159945661,mol/kg,0.902,mol/kg,
Liu - 2021,333,kelvin,13.7903325,MPa,0,0,0,0.159945661,mol/kg,1.109,mol/kg,
Liu - 2021,333,kelvin,15.8573625,MPa,0,0,0,0.159945661,mol/kg,1.147,mol/kg,
Liu - 2021,333,kelvin,17.2353825,MPa,0,0,0,0.159945661,mol/kg,1.156,mol/kg,
Liu - 2021,333,kelvin,19.3024125,MPa,0,0,0,0.159945661,mol/kg,1.182,mol/kg,
Liu - 2021,353,kelvin,2.06703,MPa,0,0,0,0.010513612,mol/kg,0.24,mol/kg,
Liu - 2021,353,kelvin,4.13406,MPa,0,0,0,0.010513612,mol/kg,0.455,mol/kg,
Liu - 2021,353,kelvin,6.20109,MPa,0,0,0,0.010513612,mol/kg,0.591,mol/kg,
Liu - 2021,353,kelvin,8.26812,MPa,0,0,0,0.010513612,mol/kg,0.77,mol/kg,
Liu - 2021,353,kelvin,10.33515,MPa,0,0,0,0.010513612,mol/kg,0.882,mol/kg,
Liu - 2021,353,kelvin,13.7903325,MPa,0,0,0,0.010513612,mol/kg,1.007,mol/kg,
Liu - 2021,353,kelvin,15.8573625,MPa,0,0,0,0.010513612,mol/kg,1.062,mol/kg,
Liu - 2021,353,kelvin,17.2353825,MPa,0,0,0,0.010513612,mol/kg,1.095,mol/kg,
Liu - 2021,353,kelvin,19.3024125,MPa,0,0,0,0.010513612,mol/kg,1.137,mol/kg,
Liu - 2021,353,kelvin,0.101325,MPa,0,0,0,0.106091903,mol/kg,0.008,mol/kg,
Liu - 2021,353,kelvin,2.06703,MPa,0,0,0,0.106091903,mol/kg,0.171,mol/kg,
Liu - 2021,353,kelvin,4.13406,MPa,0,0,0,0.106091903,mol/kg,0.447,mol/kg,
Liu - 2021,353,kelvin,6.20109,MPa,0,0,0,0.106091903,mol/kg,0.625,mol/kg,
Liu - 2021,353,kelvin,8.26812,MPa,0,0,0,0.106091903,mol/kg,0.756,mol/kg,
Liu - 2021,353,kelvin,10.33515,MPa,0,0,0,0.106091903,mol/kg,0.871,mol/kg,
Liu - 2021,353,kelvin,13.7903325,MPa,0,0,0,0.106091903,mol/kg,0.987,mol/kg,
Liu - 2021,353,kelvin,15.8573625,MPa,0,0,0,0.106091903,mol/kg,1.028,mol/kg,
Liu - 2021,353,kelvin,17.2353825,MPa,0,0,0,0.106091903,mol/kg,1.074,mol/kg,
Liu - 2021,353,kelvin,19.3024125,MPa,0,0,0,0.106091903,mol/kg,1.116,mol/kg,
Liu - 2021,353,kelvin,2.06703,MPa,0,0,0,0.159945661,mol/kg,0.168,mol/kg,
Liu - 2021,353,kelvin,4.13406,MPa,0,0,0,0.159945661,mol/kg,0.444,mol/kg,
Liu - 2021,353,kelvin,6.20109,MPa,0,0,0,0.159945661,mol/kg,0.611,mol/kg,
Liu - 2021,353,kelvin,8.26812,MPa,0,0,0,0.159945661,mol/kg,0.753,mol/kg,
Liu - 2021,353,kelvin,10.33515,MPa,0,0,0,0.159945661,mol/kg,0.868,mol/kg,
Liu - 2021,353,kelvin,13.7903325,MPa,0,0,0,0.159945661,mol/kg,0.977,mol/kg,
Liu - 2021,353,kelvin,15.8573625,MPa,0,0,0,0.159945661,mol/kg,1.0115,mol/kg,
Liu - 2021,353,kelvin,17.2353825,MPa,0,0,0,0.159945661,mol/kg,1.065,mol/kg,
Liu - 2021,353,kelvin,19.3024125,MPa,0,0,0,0.159945661,mol/kg,1.113,mol/kg,
Liu - 2021,373,kelvin,2.06703,MPa,0,0,0,0.010513612,mol/kg,0.202,mol/kg,
Liu - 2021,373,kelvin,4.13406,MPa,0,0,0,0.010513612,mol/kg,0.386,mol/kg,
Liu - 2021,373,kelvin,6.20109,MPa,0,0,0,0.010513612,mol/kg,0.544,mol/kg,
Liu - 2021,373,kelvin,8.26812,MPa,0,0,0,0.010513612,mol/kg,0.491,mol/kg,
Liu - 2021,373,kelvin,10.33515,MPa,0,0,0,0.010513612,mol/kg,0.79,mol/kg,
Liu - 2021,373,kelvin,13.7903325,MPa,0,0,0,0.010513612,mol/kg,0.935,mol/kg,
Liu - 2021,373,kelvin,15.8573625,MPa,0,0,0,0.010513612,mol/kg,1.001,mol/kg,
Liu - 2021,373,kelvin,17.2353825,MPa,0,0,0,0.010513612,mol/kg,1.034,mol/kg,
